,All recorded offences,,,,,Violence Against the Person,,,,,Sexual Offences,,,,,Robbery,,,,,Burglary,,,,,Theft and Handling,,,,,Fraud or Forgery,,,,,Criminal Damage,,,,,Drugs,,,,,Other Notifiable Offences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackney,"27,804","26,031","25,706","27,209","24,933","5,699","6,052","7,598","8,474","7,623",377,436,555,648,604,"1,232","1,015",993,"1,000",964,"2,554","2,888","2,517","2,580","2,289","13,064","11,769","10,386","10,564","10,340",690,20,28,28,15,"1,811","1,663","1,955","2,030","1,643","2,017","1,792","1,224","1,411","1,006",360,396,450,474,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammersmith and Fulham,"21,782","18,985","20,259","20,514","17,629","4,269","4,044","5,124","5,941","5,168",262,285,348,402,365,696,514,388,348,348,"1,715","1,506","1,483","1,592","1,314","10,534","8,955","9,272","8,873","7,773",761,24,30,20,22,"1,373","1,206","1,463","1,410","1,219","1,809","2,038","1,686","1,481","1,013",363,413,465,447,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haringey,"23,377","22,074","23,824","26,024","23,894","4,701","4,827","6,659","7,899","7,355",360,364,504,580,535,"1,049",933,"1,095","1,196","1,166","3,150","2,907","2,825","2,472","2,003","9,687","9,571","8,967","9,600","9,290",820,21,39,34,46,"2,019","1,907","2,208","2,151","1,882","1,311","1,235","1,126","1,574","1,169",280,309,401,518,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrow,"13,463","12,236","12,316","13,174","11,309","2,873","3,198","3,725","4,333","3,591",202,219,275,276,243,644,430,300,367,300,"2,491","2,023","1,563","1,892","1,608","4,489","4,005","4,114","4,320","3,926",594,21,25,17,16,"1,266","1,084","1,202","1,193","1,025",685,"1,017",879,553,365,219,239,233,223,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havering,"16,458","15,127","15,358","16,851","14,680","3,317","3,437","4,199","5,425","5,119",183,215,440,370,316,401,272,294,338,265,"2,755","2,395","1,992","1,844","1,549","6,454","6,147","5,730","6,000","5,013",433,12,18,22,9,"1,531","1,468","1,629","1,702","1,533","1,137",929,720,766,563,247,252,336,384,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillingdon,"20,636","19,268","22,019","21,972","19,195","4,870","5,035","6,930","7,471","6,459",276,315,404,432,23,788,505,482,330,4,"3,093","2,845","2,582","2,131","1,890","7,471","7,045","7,924","7,718","6,858",613,14,19,24,35,"2,181","2,172","2,314","2,340","2,102","1,016",999,983,"1,134",686,328,338,381,392,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hounslow,"22,509","19,668","20,825","21,926","19,339","5,217","5,228","6,369","7,371","6,275",326,339,506,525,403,679,452,409,381,377,"2,962","2,212","1,853","1,755","1,606","8,713","7,582","7,775","8,156","7,426",699,19,20,24,32,"2,057","1,965","2,012","2,248","1,831","1,533","1,550","1,505","1,013",914,323,321,376,453,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,"27,865","24,603","26,222","28,144","23,254","5,394","5,133","6,884","7,780","6,532",293,332,447,481,461,"1,163",897,946,952,353,"2,322","2,511","2,266","2,412","1,614","13,942","12,232","11,979","12,308","10,408",775,28,28,35,26,"1,801","1,667","2,005","2,032","1,567","1,761","1,412","1,207","1,630","1,420",414,391,460,514,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington and Chelsea,"20,839","17,975","18,836","19,663","17,206","2,698","2,659","4,016","4,580","4,010",205,221,339,301,449,639,533,445,436,801,"1,752","1,744","1,571","1,562","1,210","12,065","10,635","10,411","10,155","8,515",868,31,23,19,35,"1,004",855,"1,023","1,047",877,"1,402","1,063",750,"1,254","1,519",206,234,258,309,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston upon Thames,"10,198","9,288","9,774","10,155","8,739","2,212","2,053","2,642","3,110","2,758",163,150,227,238,292,217,142,97,122,449,"1,381","1,111","1,003",885,804,"4,333","4,110","3,824","3,667","3,212",306,9,11,17,10,"1,048",899,"1,030","1,023",899,426,703,779,882,592,112,111,161,211,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
